
2025/03/02 (19:47:22) | ===> btop++ v.1.4.0
2025/03/02 (19:47:22) | WARNING: Failed to join _runner thread on exit!

2025/03/04 (22:22:39) | ===> btop++ v.1.4.0
2025/03/04 (22:22:39) | WARNING: Failed to join _runner thread on exit!

2025/03/05 (16:46:54) | ===> btop++ v.1.4.0
2025/03/05 (16:46:54) | WARNING: Failed to join _runner thread on exit!

2025/03/05 (16:47:51) | ===> btop++ v.1.4.0
2025/03/05 (16:47:51) | WARNING: Failed to join _runner thread on exit!

2025/03/08 (23:10:35) | ===> btop++ v.1.4.0
2025/03/08 (23:10:35) | WARNING: Failed to join _runner thread on exit!
